Company,City,Year,Deposit Ratio,Equity to Assets Ratio,LLP,Loan Ratio,NPL,ROAA,ROAE,Standard Deviation of ROAA,Total Assets EUR,Total Customer Deposits EUR,Z-Score,Unnamed: 14,Unnamed: 15,Unnamed: 16,GDP,INF,month,GPR,GPRT,GPRA,Ln_Total Assets EUR,Ln_Equity to Assets Ratio,Ln_Loan Ratio,Ln_LLP,Ln_Deposit Ratio
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2019,0.731547988,8.733308389,4.9354459,62.41696364,6.249883223,0.138609144,1.47509137,0.206070374,163.031,119.265,3.762428501,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,5.093940366773149,2.1671442658734885,4.133837091635123,1.5964430234136422,-0.31259245848640105
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2020,0.743144626,8.54876161,3.791313537,74.49524547,4.81518239,0.202959487,2.350089223,0.147027517,180.88,134.42,4.086385896,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,5.197833827969714,2.145786431522535,4.310735304154352,1.3327125387328471,-0.2968646017933164
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2021,0.753332324,6.855869692,3.035949899,67.08429774,4.184670798,0.235422608,3.098051741,0.040232198,231.145,174.129,5.171955258,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,5.443045219224724,1.9251051746971182,4.205950003775673,1.1105243570915535,-0.2832488152078215
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2022,0.763108964,6.215232999,2.934802138,66.55130599,3.114472443,0.147888615,2.269317329,0.036130712,259.765,198.229,5.171131109,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,5.559777376146451,1.8270032140427337,4.197973168840905,1.0766400363568234,-0.27035444793337027
BANCA DI CREDITO COOPERATIVO DI BARI,BARI,2023,0.749163236,6.504250978,2.863560088,68.29481678,1.58409707,0.833658738,13.09964183,0.304745673,275.466,206.369,3.18133173,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,5.618464208998863,1.8724559597543844,4.223833874677993,1.052065636741966,-0.2887983806253013
BANCA DI CREDITO COOPERATIVO DI BARLASSINA,BARLASSINA,2017,0.60730209,12.15555873,10.25132548,45.85957107,18.88637525,-0.087384064,-0.670418048,0.088274026,1233.592,749.163,4.932176949,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,7.11768551770373,2.497786573803364,3.8255839243550547,2.3274070123458888,-0.4987289346223194
BANCA DI CREDITO COOPERATIVO DI BARLASSINA,BARLASSINA,2018,0.623863318,12.32932188,10.35469386,47.35468506,17.68982008,0.055364707,0.45222172,0.060417655,1244.521,776.411,5.322934672,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,7.126505995911963,2.511980318096921,3.8576657600382744,2.3374399299488973,-0.4718239762725057
BANCA DI CREDITO COOPERATIVO DI BARLASSINA,BARLASSINA,2019,0.642887796,10.88862603,7.812555419,58.25196622,13.87601166,-0.6845372,-5.890681929,0.298975693,1204.725,774.503,3.53018151,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,7.094006604111939,2.3877187609409347,4.064777846725913,2.05573210866936,-0.44178507074915474
BANCA DI CREDITO COOPERATIVO DI BARLASSINA,BARLASSINA,2020,0.693771522,10.12054489,2.946150317,69.7858583,6.32326732,-0.24215665,-2.307872136,0.30398727,1282.095,889.481,3.481118819,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,7.156250737699245,2.314567505295219,4.245431386089673,1.0804993408392285,-0.3656125916999841
BANCA DI CREDITO COOPERATIVO DI BARLASSINA,BARLASSINA,2021,0.620756533,8.299103855,3.264462846,68.07106386,4.251730396,0.224299736,2.463694026,0.371074519,1618.488,1004.687,3.13416812,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,7.3892476590663385,2.116147539696342,4.2205522162491445,1.1830952303575453,-0.47681633028355513
